id,url,date_posted,photos,locality,street,property_type,rooms,area_m2,owner_direct,price_total_zl,price_per_m2_zl,city
o,https://adresowo.pl/o/mieszkanie-gdansk-orunia-gorna-ul-kazimierza-wielkiego-1-pokoj-a1j0i4,,7,Gdańsk Orunia Górna,ul. Kazimierza Wielkiego,Apartment,1,33,Bez pośredników,zapytaj o cenę,,Gdańsk
o,https://adresowo.pl/o/mieszkanie-gdansk-przymorze-2-pokojowe-47-m2-j0t1r9,ponad tydzień temu,25,Gdańsk Przymorze,,Apartment,2,48,Oferta biura nieruchomości,980000,20588,Gdańsk
o,https://adresowo.pl/o/mieszkanie-gdansk-srodmiescie-ul-szafarnia-4-pokojowe-x4a0l1,ponad tydzień temu,13,Gdańsk Śródmieście,ul. Szafarnia,Apartment,4,96,Oferta biura nieruchomości,1999000,20780,Gdańsk
o,https://adresowo.pl/o/mieszkanie-gdansk-ujescisko-ul-piotrkowska-3-pokojowe-l0o5d1,6 dni temu,8,Gdańsk Ujeścisko,ul. Piotrkowska,Apartment,3,66,Bez pośredników,750000,11364,Gdańsk
,,,,,,Apartment,,,Pośrednik,,,
,,,,,,Apartment,,,Pośrednik,,,
o,https://adresowo.pl/o/mieszkanie-gdynia-chylonia-ul-chylonska-3-pokojowe-u1z4r5,6 dni temu,16,Gdynia Chylonia,ul. Chylońska,Apartment,3,53,Bez pośredników,515000,9717,Gdynia
o,https://adresowo.pl/o/mieszkanie-gdynia-leszczynki-ul-dzialdowska-4-pokojowe-e7w3u6,,7,Gdynia Leszczynki,ul. Działdowska,Apartment,4,75,Bez pośredników,zapytaj o cenę,,Gdynia
o,https://adresowo.pl/o/mieszkanie-gdansk-letnica-ul-sucha-1-pokoj-l3k3n3,ponad tydzień temu,9,Gdańsk Letnica,ul. Sucha,Apartment,1,32,Oferta biura nieruchomości,629000,19892,Gdańsk
o,https://adresowo.pl/o/mieszkanie-gdansk-srodmiescie-ul-walowa-1-pokoj-w8t5d9,ponad tydzień temu,16,Gdańsk Śródmieście,ul. Wałowa,Apartment,1,29,Oferta biura nieruchomości,618000,21563,Gdańsk
o,https://adresowo.pl/o/mieszkanie-gdansk-przymorze-ul-olsztynska-3-pokojowe-e0f4g2,6 dni temu,17,Gdańsk Przymorze,ul. Olsztyńska,Apartment,3,70,Bez pośredników,1260000,17974,Gdańsk
o,https://adresowo.pl/o/mieszkanie-gdynia-leszczynki-ul-kalksztajnow-4-pokojowe-r9t7s3,6 dni temu,12,Gdynia Leszczynki,ul. Kalksztajnów,Apartment,4,81,Bez pośredników,1055000,13041,Gdynia
,,,,,,Apartment,,,Pośrednik,,,
,,,,,,Apartment,,,Pośrednik,,,
o,https://adresowo.pl/o/mieszkanie-gdynia-redlowo-ul-mikolaja-kopernika-4-pokojowe-q9w1z4,,6,Gdynia Redłowo,ul. Mikołaja Kopernika,Apartment,4,118,Bez pośredników,zapytaj o cenę,,Gdynia
o,https://adresowo.pl/o/mieszkanie-sopot-kamienny-potok-ul-obodrzycow-5-pokojowe-m7m7x7,ponad tydzień temu,8,Sopot Kamienny Potok,ul. Obodrzyców,Apartment,5,145,Oferta biura nieruchomości,1349000,9303,Sopot
o,https://adresowo.pl/o/mieszkanie-gdansk-przymorze-2-pokojowe-38-m2-o4k4e9,ponad tydzień temu,10,Gdańsk Przymorze,,Apartment,2,38,Oferta biura nieruchomości,645000,16974,Gdańsk
o,https://adresowo.pl/o/mieszkanie-gdynia-srodmiescie-ul-zielona-laguna-5-pokojowe-q5x8d5,6 dni temu,18,Gdynia Śródmieście,ul. Zielona Laguna,Apartment,5,152,Bez pośredników,1570000,10329,Gdynia
o,https://adresowo.pl/o/mieszkanie-gdansk-ujescisko-ul-niepolomicka-3-pokojowe-x4p6b9,6 dni temu,10,Gdańsk Ujeścisko,ul. Niepołomicka,Apartment,3,50,Bez pośredników,650000,13092,Gdańsk
o,https://adresowo.pl/o/mieszkanie-gdansk-orunia-gorna-ul-kazimierza-wielkiego-4-pokojowe-z1u8g8,,7,Gdańsk Orunia Górna,ul. Kazimierza Wielkiego,Apartment,4,87,Bez pośredników,zapytaj o cenę,,Gdańsk
,,,,,,Apartment,,,Pośrednik,,,
,,,,,,Apartment,,,Pośrednik,,,
