url,date_posted,photos,locality,street,property_type,rooms,area_m2,owner_direct,price_total_zl,price_per_m2_zl,city,price_total_zl_cleaned,price_per_m2_zl_cleaned,area_per_room
https://adresowo.pl/o/mieszkanie-gdynia-orlowo-al-zwyciestwa-4-pokojowe-k3f8g3,ponad miesiąc temu,22.0,Gdynia Orłowo,al. Zwycięstwa,Apartment,4.0,83.0,Oferta biura nieruchomości,1499000,17995.0,Gdynia,1499000.0,17995.0,20.75
https://adresowo.pl/o/mieszkanie-gdynia-maly-kack-ul-siedlecka-7-pokojowe-t8y2k3,ponad miesiąc temu,21.0,Gdynia Mały Kack,ul. Siedlecka,Apartment,7.0,127.0,Oferta biura nieruchomości,1150000,9055.0,Gdynia,1150000.0,9055.0,18.142857142857142
https://adresowo.pl/o/mieszkanie-gdansk-srodmiescie-ul-piwna-2-pokojowe-j3n9o0,ponad miesiąc temu,20.0,Gdańsk Śródmieście,ul. Piwna,Apartment,2.0,45.0,Bez pośredników,1090000,24412.0,Gdańsk,1090000.0,24412.0,22.5
https://adresowo.pl/o/mieszkanie-gdynia-dzialki-lesne-ul-warszawska-2-pokojowe-e0n3c1,ponad miesiąc temu,7.0,Gdynia Działki Leśne,ul. Warszawska,Apartment,2.0,46.0,Bez pośredników,599000,13136.0,Gdynia,599000.0,13136.0,23.0
https://adresowo.pl/o/mieszkanie-sopot-ul-wladyslawa-lokietka-4-pokojowe-h0v3f8,ponad miesiąc temu,20.0,Sopot,ul. Władysława Łokietka,Apartment,4.0,110.0,Bez pośredników,2900000,26364.0,Sopot,2900000.0,26364.0,27.5
https://adresowo.pl/o/mieszkanie-gdansk-srodmiescie-ul-dlugie-ogrody-3-pokojowe-d7l1u2,ponad miesiąc temu,7.0,Gdańsk Śródmieście,ul. Długie Ogrody,Apartment,3.0,53.0,Oferta biura nieruchomości,799000,15075.0,Gdańsk,799000.0,15075.0,17.666666666666668
https://adresowo.pl/o/mieszkanie-gdansk-przerobka-ul-teofila-lenartowicza-2-pokojowe-v8n8l5,ponad miesiąc temu,14.0,Gdańsk Przeróbka,ul. Teofila Lenartowicza,Apartment,2.0,56.0,Oferta biura nieruchomości,555000,9982.0,Gdańsk,555000.0,9982.0,28.0
https://adresowo.pl/o/mieszkanie-gdansk-przymorze-ul-obroncow-wybrzeza-3-pokojowe-g2y9i4,ponad miesiąc temu,13.0,Gdańsk Przymorze,ul. Obrońców Wybrzeża,Apartment,3.0,58.0,Bez pośredników,1500000,25795.0,Gdańsk,1500000.0,25795.0,19.333333333333332
https://adresowo.pl/o/mieszkanie-gdansk-przerobka-ul-bajki-2-pokojowe-f1a2d6,ponad miesiąc temu,10.0,Gdańsk Przeróbka,ul. Bajki,Apartment,2.0,40.0,Bez pośredników,520000,12951.0,Gdańsk,520000.0,12951.0,20.0
https://adresowo.pl/o/mieszkanie-sopot-sopot-dolny-ul-gen-jaroslawa-dabrowskiego-3-pokojowe-g6s4c8,ponad miesiąc temu,12.0,Sopot Sopot Dolny,ul. gen. Jarosława Dąbrowskiego,Apartment,3.0,69.0,Bez pośredników,1050000,15284.0,Sopot,1050000.0,15284.0,23.0
https://adresowo.pl/o/mieszkanie-gdansk-zakoniczyn-ul-konrada-guderskiego-3-pokojowe-i1j9a0,ponad miesiąc temu,10.0,Gdańsk Zakoniczyn,ul. Konrada Guderskiego,Apartment,3.0,65.0,Oferta biura nieruchomości,799000,12311.0,Gdańsk,799000.0,12311.0,21.666666666666668
https://adresowo.pl/o/mieszkanie-gdansk-lostowice-ul-niepolomicka-2-pokojowe-e9g0m5,ponad miesiąc temu,13.0,Gdańsk Łostowice,ul. Niepołomicka,Apartment,2.0,41.0,Oferta biura nieruchomości,460000,11247.0,Gdańsk,460000.0,11247.0,20.5
https://adresowo.pl/o/mieszkanie-gdynia-leszczynki-ul-gen-orlicz-dreszera-3-pokojowe-l2i8f6,ponad miesiąc temu,16.0,Gdynia Leszczynki,ul. gen. Orlicz-Dreszera,Apartment,3.0,68.0,Bez pośredników,731000,10750.0,Gdynia,731000.0,10750.0,22.666666666666668
https://adresowo.pl/o/mieszkanie-gdansk-srodmiescie-ul-ks-jerzego-popieluszki-3-pokojowe-r6c4g5,ponad miesiąc temu,16.0,Gdańsk Śródmieście,ul. ks. Jerzego Popiełuszki,Apartment,3.0,68.0,Bez pośredników,1836000,26842.0,Gdańsk,1836000.0,26842.0,22.666666666666668
https://adresowo.pl/o/mieszkanie-gdynia-kamienna-gora-ul-obroncow-wybrzeza-2-pokojowe-c0s9o8,ponad miesiąc temu,10.0,Gdynia Kamienna Góra,ul. Obrońców Wybrzeża,Apartment,2.0,51.0,Bez pośredników,795000,15588.0,Gdynia,795000.0,15588.0,25.5
https://adresowo.pl/o/mieszkanie-gdansk-srodmiescie-ul-sluza-3-pokojowe-w5v3o5,ponad miesiąc temu,13.0,Gdańsk Śródmieście,ul. Śluza,Apartment,3.0,50.0,Oferta biura nieruchomości,799000,15929.0,Gdańsk,799000.0,15929.0,16.666666666666668
https://adresowo.pl/o/mieszkanie-gdansk-srodmiescie-ul-dluga-grobla-3-pokojowe-y8z4q8,ponad miesiąc temu,9.0,Gdańsk Śródmieście,ul. Długa Grobla,Apartment,3.0,57.0,Oferta biura nieruchomości,1200000,21053.0,Gdańsk,1200000.0,21053.0,19.0
https://adresowo.pl/o/mieszkanie-gdansk-srodmiescie-ul-szopy-1-pokoj-v4h4n6,ponad miesiąc temu,15.0,Gdańsk Śródmieście,ul. Szopy,Apartment,1.0,17.0,Bez pośredników,421000,24765.0,Gdańsk,421000.0,24765.0,17.0
https://adresowo.pl/o/mieszkanie-gdansk-srodmiescie-ul-walowa-1-pokoj-u1f9m0,ponad miesiąc temu,8.0,Gdańsk Śródmieście,ul. Wałowa,Apartment,1.0,23.0,Bez pośredników,519000,22565.0,Gdańsk,519000.0,22565.0,23.0
https://adresowo.pl/o/mieszkanie-sopot-kamienny-potok-ul-jozefa-kraszewskiego-3-pokojowe-x4p3b5,ponad miesiąc temu,14.0,Sopot Kamienny Potok,ul. Józefa Kraszewskiego,Apartment,3.0,51.0,Bez pośredników,799000,15667.0,Sopot,799000.0,15667.0,17.0
